cluster_nodes,n,k,run,method,time
1,1000,100,0,PySpark,1.1186058521270752
1,1000,100,0,QR,3.5513648986816406
1,1000,100,0,SVD,2.2670629024505615
1,1000,100,1,PySpark,0.6675992012023926
1,1000,100,1,QR,3.1068408489227295
1,1000,100,1,SVD,2.489030361175537
1,1000,100,2,PySpark,0.7068684101104736
1,1000,100,2,QR,3.2983384132385254
1,1000,100,2,SVD,2.7667016983032227
1,1000,100,3,PySpark,0.7793197631835938
1,1000,100,3,QR,3.2363762855529785
1,1000,100,3,SVD,2.549138307571411
1,1000,100,4,PySpark,0.6545135974884033
1,1000,100,4,QR,3.0655288696289062
1,1000,100,4,SVD,2.3035802841186523
1,1000,2,0,PySpark,6.7961835861206055
1,1000,2,0,QR,4.4024269580841064
1,1000,2,0,SVD,1.4125425815582275
1,1000,2,1,PySpark,0.6307752132415771
1,1000,2,1,QR,1.9906678199768066
1,1000,2,1,SVD,1.295989990234375
1,1000,2,2,PySpark,0.5319094657897949
1,1000,2,2,QR,1.9950613975524902
1,1000,2,2,SVD,1.2895526885986328
1,1000,2,3,PySpark,0.566303014755249
1,1000,2,3,QR,1.8829152584075928
1,1000,2,3,SVD,1.20162034034729
1,1000,2,4,PySpark,0.5368838310241699
1,1000,2,4,QR,1.9079289436340332
1,1000,2,4,SVD,1.2737150192260742
1,1000,10,0,PySpark,0.6134514808654785
1,1000,10,0,QR,2.644453525543213
1,1000,10,0,SVD,1.495499849319458
1,1000,10,1,PySpark,0.5360424518585205
1,1000,10,1,QR,2.2302446365356445
1,1000,10,1,SVD,1.497070550918579
1,1000,10,2,PySpark,0.5508642196655273
1,1000,10,2,QR,2.176743984222412
1,1000,10,2,SVD,1.4644765853881836
1,1000,10,3,PySpark,0.5736420154571533
1,1000,10,3,QR,2.1342380046844482
1,1000,10,3,SVD,1.4324064254760742
1,1000,10,4,PySpark,0.5014410018920898
1,1000,10,4,QR,2.113905429840088
1,1000,10,4,SVD,1.4650840759277344
1,1000,50,0,PySpark,0.5708987712860107
1,1000,50,0,QR,2.798137903213501
1,1000,50,0,SVD,1.7374091148376465
1,1000,50,1,PySpark,0.5093119144439697
1,1000,50,1,QR,2.4453353881835938
1,1000,50,1,SVD,1.6420574188232422
1,1000,50,2,PySpark,0.4565088748931885
1,1000,50,2,QR,2.293442487716675
1,1000,50,2,SVD,1.7036163806915283
1,1000,50,3,PySpark,0.498882532119751
1,1000,50,3,QR,2.4767870903015137
1,1000,50,3,SVD,1.704026460647583
1,1000,50,4,PySpark,0.46274495124816895
1,1000,50,4,QR,2.316859722137451
1,1000,50,4,SVD,1.690269947052002
1,1000,100,0,PySpark,0.7034282684326172
1,1000,100,0,QR,3.6932082176208496
1,1000,100,0,SVD,2.3265936374664307
1,1000,100,1,PySpark,0.7533965110778809
1,1000,100,1,QR,3.0111260414123535
1,1000,100,1,SVD,2.344942331314087
1,1000,100,2,PySpark,0.6643779277801514
1,1000,100,2,QR,3.051994800567627
1,1000,100,2,SVD,2.3605639934539795
1,1000,100,3,PySpark,0.6228518486022949
1,1000,100,3,QR,3.1010966300964355
1,1000,100,3,SVD,2.3106606006622314
1,1000,100,4,PySpark,0.6446144580841064
1,1000,100,4,QR,3.293381929397583
1,1000,100,4,SVD,2.3761472702026367
1,10000,2,0,PySpark,0.5798158645629883
1,10000,2,0,QR,2.7066447734832764
1,10000,2,0,SVD,1.5193684101104736
1,10000,2,1,PySpark,0.5515000820159912
1,10000,2,1,QR,2.4065985679626465
1,10000,2,1,SVD,1.7992875576019287
1,10000,2,2,PySpark,0.5686519145965576
1,10000,2,2,QR,2.439112424850464
1,10000,2,2,SVD,1.6058175563812256
1,10000,2,3,PySpark,0.5540347099304199
1,10000,2,3,QR,2.280372142791748
1,10000,2,3,SVD,1.587217092514038
1,10000,2,4,PySpark,0.5279607772827148
1,10000,2,4,QR,2.3466455936431885
1,10000,2,4,SVD,1.5183734893798828
1,10000,10,0,PySpark,0.8262667655944824
1,10000,10,0,QR,3.890536308288574
1,10000,10,0,SVD,2.532698154449463
1,10000,10,1,PySpark,0.7680506706237793
1,10000,10,1,QR,3.37949275970459
1,10000,10,1,SVD,2.473292589187622
1,10000,10,2,PySpark,0.7526743412017822
1,10000,10,2,QR,3.327411651611328
1,10000,10,2,SVD,2.589524745941162
1,10000,10,3,PySpark,0.7795305252075195
1,10000,10,3,QR,3.3884220123291016
1,10000,10,3,SVD,2.5909111499786377
1,10000,10,4,PySpark,0.7651705741882324
1,10000,10,4,QR,3.287966251373291
1,10000,10,4,SVD,2.5472755432128906
1,1000,2,0,PySpark,1.1074750423431396
1,1000,2,0,QR,2.2512869834899902
1,1000,2,0,SVD,1.1446356773376465
1,1000,2,1,PySpark,0.431490421295166
1,1000,2,1,QR,1.770881175994873
1,1000,2,1,SVD,1.1777923107147217
1,1000,2,2,PySpark,0.4256463050842285
1,1000,2,2,QR,1.8075671195983887
1,1000,2,2,SVD,1.151484727859497
1,1000,2,3,PySpark,0.44185709953308105
1,1000,2,3,QR,1.7877802848815918
1,1000,2,3,SVD,1.1663711071014404
1,1000,2,4,PySpark,0.40981125831604004
1,1000,2,4,QR,1.79374361038208
1,1000,2,4,SVD,1.1680114269256592
1,1000,10,0,PySpark,0.46938109397888184
1,1000,10,0,QR,2.435529947280884
1,1000,10,0,SVD,1.4016189575195312
1,1000,10,1,PySpark,0.4626457691192627
1,1000,10,1,QR,2.0317819118499756
1,1000,10,1,SVD,1.3958981037139893
1,1000,10,2,PySpark,0.4673948287963867
1,1000,10,2,QR,2.08736252784729
1,1000,10,2,SVD,1.3903260231018066
1,1000,10,3,PySpark,0.4659552574157715
